Teacher Name,Month,Attendance (%),Feedback from Students (1-5),Questions Answered,Research Papers,Average Class Duration (minutes),Average Student Attendance per Class (%),Resource Sharing (1-5),Quiz Frequency,After Quiz Feedback (1-5),RandomNumber
Teacher_461,3,98,3.7,129,5,60,89,4.4,4,4,24.4464402
Teacher_462,3,89,3.9,92,4,53,76,3.9,3,4,90.74524251
Teacher_463,3,93,3.9,131,4,72,83,4.7,4,4.5,18.35105274
Teacher_464,3,89,4.3,84,2,56,79,4.7,4,4.7,67.98210534
Teacher_465,3,92,4.5,84,4,55,80,4.7,2,4.1,0.237404787
Teacher_466,3,97,4.4,138,2,47,82,4.3,1,4.6,26.60485901
Teacher_467,3,88,3.7,109,2,50,76,3.9,2,4.8,31.76082984
Teacher_468,3,85,3.8,147,3,62,84,4.7,2,4.7,39.31972622
Teacher_469,3,92,4.8,92,1,65,76,3.8,1,3.6,62.02040237
Teacher_470,3,87,4.3,131,2,47,85,3.9,4,4.7,68.37821407
Teacher_471,3,92,4.8,103,2,59,82,3.8,3,4.7,39.50284258
Teacher_472,3,88,4.1,147,6,49,77,4.5,1,4.5,0.467172122
Teacher_473,3,92,4.4,119,3,72,77,4.5,2,4.6,97.79834827
Teacher_474,3,85,4.3,114,2,63,82,4.5,4,5,44.08906512
Teacher_475,3,93,4,118,5,69,82,4.1,1,4.1,59.98050355
Teacher_476,3,90,4.2,149,1,53,87,3.7,1,3.6,63.22279444
Teacher_477,3,91,4.3,93,5,45,75,4.9,1,4.2,97.97658411
Teacher_478,3,86,3.8,126,4,56,83,4.3,4,3.6,71.7878515
Teacher_479,3,90,4,131,1,55,89,4.1,3,3.9,46.65090526
Teacher_480,3,95,4.7,92,4,45,83,4.4,3,4.4,76.26665845
Teacher_481,3,92,4.9,148,6,58,77,3.8,4,4,51.15004796
Teacher_482,3,88,4,98,2,52,77,3.7,1,4.5,39.30625377
Teacher_483,3,89,4,83,3,56,89,4.1,1,4.7,33.57132363
Teacher_484,3,95,3.8,88,5,59,89,3.8,4,4.1,57.7151327
Teacher_485,3,89,4.5,113,4,69,88,3.9,3,4.9,64.15402166
Teacher_486,3,93,4,99,2,66,82,4.8,4,3.6,38.04296157
Teacher_487,3,85,5,109,5,51,79,4.3,2,4.8,11.98354284
Teacher_488,3,95,4,86,5,62,89,4.2,4,4.7,39.5427684
Teacher_489,3,88,4.1,95,6,52,76,4.5,3,4,51.60426226
Teacher_490,3,93,4.4,144,6,64,87,4.9,1,3.9,13.61174031
Teacher_491,3,99,4.7,142,4,68,86,3.7,4,4,8.686672479
Teacher_492,3,87,4.2,81,2,57,86,4.8,2,4.7,60.60512352
Teacher_493,3,87,4.1,136,3,72,83,4.4,1,4.7,41.41117263
Teacher_494,3,92,5,119,4,71,81,3.7,3,4,78.24926315
Teacher_495,3,93,3.5,106,5,66,85,3.9,2,4.4,71.03552987
Teacher_496,3,89,4.8,136,5,65,87,4.2,2,3.7,17.39125636
Teacher_497,3,96,3.7,137,1,70,88,4.5,3,4.2,60.42192409
Teacher_498,3,97,4.7,120,2,57,89,3.9,2,5,7.306646778
Teacher_499,3,91,4.4,91,1,45,89,4.3,1,3.7,42.58232413
Teacher_500,3,85,4,129,6,60,88,4.5,4,4.9,8.384187776
Teacher_501,3,88,4.8,106,3,59,86,4.2,1,4.7,95.35767948
Teacher_502,3,97,3.5,138,4,67,83,4.8,4,5,21.75089275
Teacher_503,3,98,3.8,133,5,67,75,4.8,1,3.8,80.29850702
Teacher_504,3,87,4.4,96,2,74,77,4.2,2,3.8,89.51804781
Teacher_505,3,91,4,134,5,62,75,5,2,3.5,94.79171575
Teacher_506,3,98,4.4,125,6,45,84,3.6,4,4.6,27.27629774
Teacher_507,3,96,3.5,87,1,73,77,3.5,4,4.5,29.55474168
Teacher_508,3,98,3.7,87,1,55,78,4.1,2,3.8,96.35807943
Teacher_509,3,98,3.7,83,4,49,85,4.4,1,4.7,37.61095517
Teacher_510,3,92,3.8,97,2,65,83,4.4,3,3.9,73.04142788
Teacher_511,3,99,4.2,124,6,67,75,4.2,2,3.7,59.80630934
Teacher_512,3,99,4.6,81,2,54,86,3.7,3,4.1,70.01334072
Teacher_513,3,89,4.9,118,4,52,89,3.8,3,3.6,89.67468046
Teacher_514,3,85,4.8,136,6,74,84,4.8,1,3.9,23.51012561
Teacher_515,3,93,3.8,98,6,66,81,4.8,4,4.1,32.00430073
Teacher_516,3,96,4.2,118,1,46,76,4.5,4,4.8,60.82577635
Teacher_517,3,99,3.8,83,1,58,78,4.5,2,4.7,88.00453689
Teacher_518,3,90,3.9,92,1,49,81,4.4,3,4.2,38.20608849
Teacher_519,3,97,4.3,94,5,61,84,3.8,4,4.6,35.91121484
Teacher_520,3,87,3.6,127,3,55,82,4.1,1,4.4,3.823642881
Teacher_521,3,88,3.8,132,1,49,87,4.5,1,4,95.86534165
Teacher_522,3,96,4.9,130,3,51,87,4.3,3,4.6,27.4132793
Teacher_523,3,94,4.2,106,3,46,81,3.5,3,4.5,12.20710253
Teacher_524,3,97,4.2,128,2,48,75,4.9,4,4.4,92.11970461
Teacher_525,3,99,3.5,124,4,70,88,4.8,3,4.4,35.15926499
Teacher_526,3,94,3.9,139,5,65,79,3.9,4,4.5,83.93775883
Teacher_527,3,86,4.8,98,3,46,78,4.4,3,4.1,50.28191001
Teacher_528,3,96,3.7,139,5,45,89,4.9,2,4.8,98.80950217
Teacher_529,3,90,4.1,99,2,69,76,3.6,4,3.7,94.50583455
Teacher_530,3,95,3.5,100,1,58,89,4.3,2,4.8,93.55810737
Teacher_531,3,90,4.2,90,6,54,84,4.2,4,4,13.17992492
Teacher_532,3,99,3.5,94,3,67,88,4.1,4,3.7,48.13352532
Teacher_533,3,90,4.7,91,4,73,77,4.8,2,4.4,62.80499664
Teacher_534,3,90,4.7,128,6,48,83,4.1,3,4.1,37.06886554
Teacher_535,3,95,4.7,104,2,64,88,3.6,2,4.7,57.80029807
Teacher_536,3,97,3.9,95,5,54,78,3.6,1,4.1,95.83461938
Teacher_537,3,99,4.8,105,1,48,80,3.6,3,4.5,94.17515084
Teacher_538,3,91,4.3,89,5,65,89,4.1,4,4,26.04411098
Teacher_539,3,88,4.1,93,4,64,87,4.6,2,3.8,49.7521578
Teacher_540,3,87,4.4,94,3,59,79,3.8,1,4.1,59.41836413
Teacher_541,3,87,3.5,123,4,66,88,4.5,1,4.4,68.61758751
Teacher_542,3,95,3.7,147,5,46,81,4.5,2,4.5,31.32738691
Teacher_543,3,96,4.6,114,5,72,75,3.9,1,4.4,25.83489062
Teacher_544,3,85,3.9,113,6,61,88,4.4,2,5,73.33180048
Teacher_545,3,97,4.4,85,4,67,82,4.5,2,4.5,14.16108053
Teacher_546,3,92,4.1,89,4,62,81,4.2,4,4.9,15.53928354
Teacher_547,3,86,4.8,134,4,50,81,4,2,3.7,84.90717879
Teacher_548,3,95,4.9,98,1,61,83,4.4,3,3.6,39.11338242
Teacher_549,3,98,4.8,121,5,50,88,5,2,4,24.27606506
Teacher_550,3,99,3.9,141,2,59,88,4.1,2,3.7,59.79273167
Teacher_551,3,92,3.8,128,1,52,84,4.1,3,4.3,10.26223011
Teacher_552,3,85,4.2,107,1,56,76,4.2,1,4.3,74.25754303
Teacher_553,3,94,3.5,109,1,74,85,3.6,3,4.4,17.82691726
Teacher_554,3,87,3.5,136,6,45,78,4.3,2,4.6,44.30935553
Teacher_555,3,98,4.3,134,2,71,82,4,3,5,30.91295448
Teacher_556,3,97,4.3,110,4,46,81,3.7,2,4.8,15.48899817
Teacher_557,3,92,5,117,6,55,76,4.2,3,3.7,83.92852883
Teacher_558,3,94,3.8,87,5,71,81,3.5,2,4,74.95221407
Teacher_559,3,99,3.9,114,3,55,80,4.1,3,3.9,43.48457441
Teacher_560,3,93,3.7,144,6,45,89,3.7,1,3.8,64.14512942
Teacher_561,3,91,4.9,98,3,58,76,3.5,2,4.3,16.05631709
Teacher_562,3,99,4.7,87,5,70,89,4.7,1,4.3,33.72228293
Teacher_563,3,88,4.7,133,2,57,80,4.9,4,3.8,43.41480316
Teacher_564,3,97,4.9,107,3,56,77,3.8,3,4.6,18.70772822
Teacher_565,3,97,4.3,131,1,53,85,4.3,2,4.6,4.076606103
Teacher_566,3,97,4.2,86,6,62,87,3.9,3,3.5,0.159481436
Teacher_567,3,98,4,124,3,47,77,4.2,4,4.1,56.82557668
Teacher_568,3,98,4.4,83,5,51,77,4.2,1,4.8,29.45796801
Teacher_569,3,90,4.2,128,1,47,82,3.9,4,4.3,85.77656794
Teacher_570,3,90,4.2,89,3,61,82,4.6,2,4,48.55058895
Teacher_571,3,97,4.9,122,5,54,82,3.7,3,3.9,95.66234445
Teacher_572,3,85,5,135,2,74,78,3.6,2,3.9,48.59137227
Teacher_573,3,97,4.7,132,5,52,80,4.7,2,3.6,82.00696097
Teacher_574,3,85,4.6,149,2,55,81,4.5,4,4.7,97.90804338
Teacher_575,3,88,4.5,95,1,60,87,4.2,3,3.6,40.39060553
Teacher_576,3,86,3.7,125,5,53,81,4.2,2,3.9,16.88760759
Teacher_577,3,98,3.6,141,4,61,84,4.2,1,3.6,2.486601556
Teacher_578,3,85,4.5,110,6,46,87,4.2,1,4.7,74.24829334
Teacher_579,3,90,4.6,116,4,50,76,4.1,1,3.6,13.52325437
Teacher_580,3,85,3.6,147,4,71,75,4.2,2,4,57.78930298
Teacher_581,3,87,4.9,125,4,56,83,4.3,3,4.4,4.905404442
Teacher_582,3,94,3.6,99,6,65,81,4.5,4,4.1,38.2613724
Teacher_583,3,96,3.9,84,4,68,79,4.6,1,3.9,23.56986609
Teacher_584,3,94,4.5,135,2,71,88,4.1,2,3.9,9.651966168
Teacher_585,3,95,3.8,123,5,73,76,4.1,2,4.7,34.76064792
Teacher_586,3,86,3.6,145,1,48,86,4.1,1,5,91.44889538
Teacher_587,3,87,4,120,4,68,75,4.3,2,4,54.34907223
Teacher_588,3,89,4.6,104,4,55,85,4.2,3,3.6,53.80209142
Teacher_589,3,91,4.1,99,1,53,77,4.8,4,3.6,87.61409205
Teacher_590,3,85,4.5,81,1,59,76,4.5,3,4.6,74.07282438
Teacher_591,3,94,4.4,129,4,64,84,4.8,2,4.3,53.48485745
Teacher_592,3,85,3.5,113,2,46,78,4.6,3,4.7,38.90590771
Teacher_593,3,92,5,107,1,64,87,5,1,4.5,46.64927113
Teacher_594,3,97,3.6,143,5,72,85,4.5,4,4.9,46.41793211
Teacher_595,3,89,5,87,5,69,82,4.9,3,4.8,82.61740198
Teacher_596,3,96,4.3,89,2,46,79,3.7,4,4.7,74.55998219
Teacher_597,3,98,4.9,89,6,74,82,3.6,4,4.2,4.805560234
Teacher_598,3,93,3.7,149,3,54,83,4.4,1,4,0.611411478
Teacher_599,3,94,4.2,109,2,69,81,5,3,4.3,17.05882794
Teacher_600,3,99,3.8,144,4,73,88,4.1,3,4.3,74.91003983
Teacher_1,4,99,4.9,126,5,53,85,3.9,2,3.5,27.63658366
Teacher_2,4,89,4.3,122,2,57,83,3.8,2,3.5,45.39835096
Teacher_3,4,86,3.8,116,1,47,80,3.7,3,4.7,79.92048297
Teacher_4,4,95,3.7,134,1,67,75,3.8,2,5,91.45109944
Teacher_5,4,91,4.4,136,4,45,82,4.5,2,4.6,74.08290338
Teacher_6,4,93,4.6,88,6,59,84,4.2,4,3.5,50.47126624
Teacher_7,4,96,4.7,104,5,55,89,4.3,2,3.8,11.33212542
Teacher_8,4,88,3.9,98,6,51,75,3.7,1,5,28.10774771
Teacher_9,4,96,3.8,104,5,60,83,4.7,2,4.7,75.44541316
Teacher_10,4,93,3.5,100,2,60,88,4.7,1,4.4,34.20531719
Teacher_11,4,96,4.5,119,2,66,83,3.5,2,3.9,64.94183397
Teacher_12,4,85,3.6,81,1,48,86,4.1,1,3.5,19.59577258
Teacher_13,4,95,4.1,115,5,63,82,3.6,3,3.5,10.50170715
Teacher_14,4,85,4.4,108,5,58,78,4.7,4,4.4,38.55966976
Teacher_15,4,85,4.9,137,6,69,75,4.6,1,3.5,84.00208639
Teacher_16,4,91,4,93,2,45,84,4.9,2,5,14.83245739
Teacher_17,4,85,3.9,106,3,51,88,3.9,3,3.8,15.30867203
Teacher_18,4,88,4.5,125,1,58,76,4.2,2,4.6,11.39008345
Teacher_19,4,89,4.4,138,5,64,86,3.8,4,3.7,16.32260267
Teacher_20,4,96,4,86,4,59,87,4.1,1,4.3,31.33643768
Teacher_21,4,93,4.9,84,4,67,78,4.3,2,3.6,66.11142943
Teacher_22,4,96,4.8,129,3,71,85,3.6,2,4.7,65.02444406
Teacher_23,4,88,3.8,92,2,49,80,4.6,3,4.4,66.74830135
Teacher_24,4,85,3.9,135,2,45,78,4.3,3,3.6,83.45727621
Teacher_25,4,89,4.3,85,2,48,84,4.7,3,4.8,34.95085393
Teacher_26,4,90,4.7,88,6,45,80,3.9,4,4.3,43.81924877
Teacher_27,4,95,3.6,106,4,52,85,4.9,3,4.9,44.77068824
Teacher_28,4,87,4.5,92,2,48,76,5,4,4.9,17.63489449
Teacher_29,4,96,4.5,137,4,46,83,4.9,3,4.9,23.95984657
Teacher_30,4,93,3.8,100,3,72,89,4.7,3,3.6,74.25836184
Teacher_31,4,93,4.5,133,1,63,77,4.7,2,3.7,69.09763387
Teacher_32,4,95,4.9,121,6,45,88,4.4,4,5,16.04426477
Teacher_33,4,93,3.6,98,5,46,85,3.8,2,4.2,37.00491
Teacher_34,4,88,4,132,3,71,83,4.5,1,3.9,62.03574865
Teacher_35,4,95,4.2,86,4,49,86,4.6,3,4.7,86.92284074
Teacher_36,4,92,4.8,149,3,64,78,5,4,3.9,33.83305837
Teacher_37,4,97,4.9,105,5,67,88,4.3,1,4.6,68.32068272
Teacher_38,4,90,4.2,134,6,46,83,3.9,1,4.8,91.34996949
Teacher_39,4,96,4.6,137,1,69,75,4.5,2,4.7,29.82450152
Teacher_40,4,99,4.3,100,5,72,86,5,1,3.9,0.695681137
Teacher_41,4,99,4.3,107,6,45,88,3.8,2,4.1,75.88760223
Teacher_42,4,97,3.9,127,4,48,82,4,3,4.1,6.865509996
Teacher_43,4,93,3.8,96,5,61,86,4.3,1,4.2,22.3831829
Teacher_44,4,96,3.9,124,3,51,87,3.8,3,3.8,43.1327604
Teacher_45,4,90,4.3,131,2,53,86,3.5,2,4.2,13.10246257
Teacher_46,4,89,3.5,112,3,66,86,4,2,4.3,32.64237414
Teacher_47,4,88,4.9,95,4,72,87,4.8,1,4.3,52.72384564
Teacher_48,4,87,3.7,85,1,60,79,3.6,4,4.7,86.02956557
Teacher_49,4,98,3.8,105,5,56,77,4.1,1,4.3,71.23553643
Teacher_50,4,98,4.3,127,1,56,76,4.6,4,3.8,75.33724878
Teacher_51,4,97,4.6,119,4,58,80,4.9,1,4.5,70.53896427
Teacher_52,4,89,3.6,127,5,73,89,5,4,4.7,52.39447115
Teacher_53,4,91,4,82,6,50,78,4.1,3,4,93.28336397
Teacher_54,4,86,5,100,6,51,80,4.9,2,4.5,71.34072717
Teacher_55,4,92,3.9,96,3,64,85,3.6,1,3.7,26.28036005
Teacher_56,4,85,4,81,3,65,82,4.6,1,4,87.96324888
Teacher_57,4,95,4.8,132,4,70,88,4.5,4,4.9,20.17808174
Teacher_58,4,91,3.6,80,6,51,88,3.9,4,4.9,36.74691553
Teacher_59,4,91,4.2,103,5,59,84,4.3,2,4.4,40.63513409
Teacher_60,4,97,4.1,127,6,52,77,3.7,4,4.6,99.57786017
Teacher_61,4,85,4,143,3,72,82,4.8,3,4.8,41.74926635
Teacher_62,4,87,3.9,89,4,45,79,4,1,4.9,49.64517681
Teacher_63,4,85,3.6,121,6,64,75,4.4,1,4.2,83.70455134
Teacher_64,4,88,4,97,4,45,79,3.7,2,4.3,83.31832551
Teacher_65,4,88,3.6,81,6,48,84,3.8,1,4.1,43.98301222
Teacher_66,4,94,4.7,120,1,54,85,5,2,3.6,87.15996877
Teacher_67,4,94,4.1,90,6,72,84,4.6,3,4.1,50.01327895
Teacher_68,4,95,4.2,104,3,54,87,4.9,4,4.7,94.42053175
Teacher_69,4,88,4.8,121,5,66,82,3.9,3,4.7,55.73230238
Teacher_70,4,97,4.5,133,3,60,82,3.7,1,4.8,7.145399558
Teacher_71,4,97,3.5,132,3,74,78,4.3,4,3.6,12.12772148
Teacher_72,4,85,4.9,80,3,61,82,4.2,1,4.3,81.85260712
Teacher_73,4,90,3.9,83,4,68,78,3.8,1,3.7,67.92356294
Teacher_74,4,95,3.7,128,2,58,83,4.6,2,3.8,34.48452362
Teacher_75,4,98,4.7,147,2,53,83,4,3,4.9,72.2205151
Teacher_76,4,94,4.3,98,1,55,82,3.8,4,4.2,46.06966101
Teacher_77,4,92,4.2,113,3,73,76,4,2,4.6,94.16396646
Teacher_78,4,85,3.9,100,2,68,80,4.3,1,3.6,98.0211315
Teacher_79,4,90,4.3,140,1,69,85,4.6,4,4.1,38.61136888
Teacher_80,4,97,3.9,115,4,65,89,4.2,1,4.5,69.52721213
Teacher_81,4,94,4.9,84,3,72,86,4.3,4,3.7,22.18934003
Teacher_82,4,99,3.8,146,5,73,80,3.7,2,4,78.16986214
Teacher_83,4,89,4.8,121,4,74,77,4.9,1,3.6,92.91177506
Teacher_84,4,98,4.3,148,1,47,88,4.9,1,4.5,60.74142792
Teacher_85,4,99,4.7,147,4,45,85,4.5,2,5,9.673071633
Teacher_86,4,85,4.6,80,5,55,83,3.5,3,4.7,42.0241251
Teacher_87,4,99,4.5,80,4,55,88,4.3,2,5,71.92382828
Teacher_88,4,86,4,123,1,68,80,4.4,4,4.8,2.763866817
Teacher_89,4,85,3.9,109,5,74,88,5,4,4.8,92.60095717
Teacher_90,4,94,3.8,117,5,55,83,5,3,4.4,21.60249446
Teacher_91,4,86,4.8,145,4,51,87,4.8,3,4.3,39.37708718
Teacher_92,4,95,4.7,94,5,70,81,3.6,4,4.1,95.21028726
Teacher_93,4,86,4.2,145,4,63,76,4.9,4,4.7,9.505210578
Teacher_94,4,89,3.7,138,3,62,82,4.4,2,3.8,93.41503689
Teacher_95,4,97,4.1,106,5,74,76,4.7,4,3.6,42.03348424
Teacher_96,4,99,4.4,139,4,74,80,4.1,2,4.9,3.464559563
Teacher_97,4,99,4.2,119,3,65,77,4,4,3.5,66.68510486
Teacher_98,4,94,4.7,149,5,65,81,4.2,2,5,45.05802283
Teacher_99,4,96,5,90,3,62,87,3.7,2,4.6,97.92470639
Teacher_100,4,94,3.8,97,6,63,79,4,1,4,93.53265211
Teacher_101,4,88,4.2,81,5,69,86,4.8,4,4.5,40.86376382
Teacher_102,4,86,4.1,105,6,66,83,3.6,4,4.7,85.92761963
Teacher_103,4,94,4,98,1,74,84,3.7,3,3.9,97.35223868
Teacher_104,4,89,3.8,106,1,54,81,3.7,1,4.7,53.72012944
Teacher_105,4,91,3.6,104,4,45,86,4.1,3,4.7,76.66445073
Teacher_106,4,86,4.8,140,2,45,80,5,3,3.9,75.90077258
Teacher_107,4,87,4.1,94,6,65,81,3.8,4,3.6,9.022573757
Teacher_108,4,90,4.2,133,6,51,88,3.7,4,3.8,87.29824514
Teacher_109,4,94,4.9,99,1,56,78,4.9,4,3.8,67.08294375
Teacher_110,4,90,4.7,102,6,50,76,4.8,2,3.6,37.33115733
Teacher_111,4,88,3.7,121,2,56,84,3.5,2,4.6,77.00286575
Teacher_112,4,87,4.3,131,3,65,87,4.6,4,4.1,62.25188817
Teacher_113,4,95,4.2,116,3,53,76,4.5,3,4.8,55.49398561
Teacher_114,4,95,4.7,144,2,48,82,4.7,4,3.9,49.45567655
Teacher_115,4,98,4.6,147,6,73,76,4.2,4,4.2,51.7419328
Teacher_116,4,92,4.5,105,6,64,85,5,4,4.5,88.56037147
Teacher_117,4,85,4,135,6,58,76,3.6,3,4.8,68.59553787
Teacher_118,4,90,4.7,115,4,50,76,3.9,2,4.3,4.643149198
Teacher_119,4,98,3.6,126,5,61,83,4.1,3,4.1,21.91646868
Teacher_120,4,85,3.7,137,2,73,77,4.2,1,4.8,67.0775009
Teacher_121,4,97,4,84,2,54,85,4.9,3,4,11.29839324
Teacher_122,4,97,3.6,108,2,45,89,4.3,4,3.6,56.19448851
Teacher_123,4,94,3.9,141,2,74,89,3.6,4,4.2,83.172466
Teacher_124,4,91,4.7,84,2,56,85,4.1,3,4.7,34.94353448
Teacher_125,4,85,4.9,109,6,45,75,4.1,1,3.5,51.24028149
Teacher_126,4,92,4,114,4,65,78,4.9,1,4.4,66.62968564
Teacher_127,4,92,3.9,137,1,67,87,4.4,2,4.4,77.91600918
Teacher_128,4,90,3.9,136,6,48,82,4.5,3,4.9,84.0127835
Teacher_129,4,93,3.9,131,6,73,84,4.6,3,3.9,65.71771419
Teacher_130,4,93,3.6,84,5,63,84,4.7,4,3.9,94.57260405
Teacher_131,4,95,4.9,112,1,56,77,4.5,4,4.2,88.18708873
Teacher_132,4,85,3.8,92,2,51,83,3.9,4,4,18.93326958
Teacher_133,4,85,4.1,144,1,54,77,4.8,2,4.6,77.17463654
Teacher_134,4,91,3.5,108,4,52,86,4.6,4,4.5,36.05701243
Teacher_135,4,85,4.8,127,3,59,84,4.6,3,4.6,17.32443309
Teacher_136,4,86,4.6,113,6,51,80,5,1,4.7,92.4460537
Teacher_137,4,97,4.9,147,1,68,84,4.7,1,4.9,22.19155426
Teacher_138,4,91,4.7,101,5,63,84,4.7,4,4.1,50.83331146
Teacher_139,4,95,4,111,4,52,76,4.9,3,5,35.34902493
Teacher_140,4,99,3.9,144,3,46,81,3.7,3,3.8,90.65800303
Teacher_141,4,90,4.5,107,4,65,77,4.2,3,4.6,84.04658009
Teacher_142,4,87,4,145,2,65,82,4.4,2,4.3,87.9434891
Teacher_143,4,95,4.3,100,3,68,79,4,1,4.7,48.74127327
Teacher_144,4,98,3.5,105,5,63,84,4.8,1,4.2,60.62403735
Teacher_145,4,94,3.6,136,3,61,80,4.6,2,4.7,49.44179213
Teacher_146,4,92,4.3,129,5,62,86,4.6,3,4.9,89.17246642
Teacher_147,4,94,4.3,148,2,64,80,5,2,4.6,88.2581998
Teacher_148,4,93,4.6,102,5,55,85,3.9,1,4.7,79.97391664
Teacher_149,4,90,3.7,109,4,69,79,4.6,3,3.6,89.40989418
Teacher_150,4,89,4.3,96,1,74,75,4.3,1,3.8,65.63179544
Teacher_151,4,96,3.8,119,4,48,80,4,2,5,14.4048046
Teacher_152,4,92,3.6,104,6,56,79,3.7,1,4.5,37.37473063
Teacher_153,4,92,4.1,126,4,56,81,4.8,2,4.3,60.60887539
Teacher_154,4,88,3.7,103,3,73,85,4.4,1,4.1,58.17389488
Teacher_155,4,93,3.8,109,2,73,78,4.7,1,3.6,77.81623017
Teacher_156,4,87,4,108,6,66,78,4.3,2,4.1,51.02438983
Teacher_157,4,89,3.9,108,6,73,84,3.8,4,4.2,87.00601042
Teacher_158,4,96,3.6,135,6,59,82,4,3,3.8,68.34667535
Teacher_159,4,92,3.6,102,1,68,85,4.1,1,3.8,51.59006285
Teacher_160,4,94,3.8,91,5,64,88,5,1,4.3,13.95709086
Teacher_161,4,91,3.6,111,3,65,79,3.5,3,4.4,53.56682032
Teacher_162,4,91,4.4,136,2,46,89,5,1,3.9,14.87174331
Teacher_163,4,96,3.9,84,1,54,87,5,3,4.4,8.430368794
Teacher_164,4,99,3.9,132,4,65,88,5,2,4.9,3.271775076
Teacher_165,4,96,4,140,2,63,86,4.2,1,4.2,68.18901279
Teacher_166,4,86,4.5,118,6,67,85,4.9,3,4.8,51.53039914
Teacher_167,4,96,4.8,81,2,65,88,4.1,1,4.9,0.638519763
Teacher_168,4,89,4.6,112,2,66,87,3.5,1,3.6,93.1197287
Teacher_169,4,98,4.6,104,4,68,76,3.8,1,3.6,35.28223494
Teacher_170,4,88,4.2,114,5,66,89,4.9,2,4.2,32.40584816
Teacher_171,4,99,4.5,131,3,73,79,3.5,3,4.4,71.39108999
Teacher_172,4,92,4.3,136,6,49,85,4.3,1,4.1,30.01062521
Teacher_173,4,93,3.8,141,5,73,89,3.6,3,4,72.70516858
Teacher_174,4,91,3.8,110,1,60,81,3.9,2,4.5,38.53771025
Teacher_175,4,86,3.9,134,6,68,80,3.6,2,3.5,82.51339221
Teacher_176,4,93,4.9,112,3,69,83,4.8,2,5,40.3059239
Teacher_177,4,93,4.3,122,1,47,84,4.4,4,3.8,23.57422295
Teacher_178,4,95,4.6,87,4,64,84,4.9,4,4.9,20.2898448
Teacher_179,4,89,4,123,5,72,78,4.5,2,3.7,50.63199485
Teacher_180,4,87,4.1,141,6,72,85,5,4,3.9,78.89651362
Teacher_181,4,92,3.7,137,2,53,79,4.3,1,3.9,28.25628598
Teacher_182,4,89,3.8,113,3,64,82,4.5,2,5,65.77072277
Teacher_183,4,93,4.7,82,6,53,82,4.4,4,3.5,49.82841975
Teacher_184,4,88,4.4,138,2,68,84,4.2,4,4.5,14.25737803
Teacher_185,4,93,4,119,6,64,85,4.8,4,4.8,70.13284266
Teacher_186,4,91,4.7,118,1,47,84,4.5,3,4.5,31.23562867
Teacher_187,4,88,3.9,104,2,61,82,4.7,4,4,61.73323128
Teacher_188,4,85,5,91,2,46,87,4.7,4,4.9,94.54433362
Teacher_189,4,95,4,145,6,47,75,3.8,4,4.8,26.12071892
Teacher_190,4,87,4,105,4,66,82,4.5,2,4.2,45.20489439
Teacher_191,4,97,4,104,4,69,81,3.8,2,4.4,39.33708365
Teacher_192,4,88,3.7,134,5,63,89,4.4,3,5,46.51512049
Teacher_193,4,99,3.7,105,1,74,86,4.5,3,5,82.60855101
Teacher_194,4,96,4.5,82,4,51,83,5,4,4.2,26.34168876
Teacher_195,4,96,4.8,127,6,59,76,3.5,2,4.8,44.21949631
Teacher_196,4,98,4.7,149,4,47,77,3.6,4,4,26.15463945
Teacher_197,4,88,3.7,130,5,47,85,3.6,1,4.1,32.49628627
Teacher_198,4,93,4.3,118,3,65,80,4.1,4,3.7,68.67899558
Teacher_199,4,95,3.7,110,5,61,83,4.7,2,3.8,16.39901229
Teacher_200,4,95,3.6,142,2,59,81,4.8,4,4.5,85.86151521
Teacher_201,4,93,4.5,117,2,64,81,4.6,1,4.3,1.980405459
Teacher_202,4,92,4.3,91,4,73,86,4.8,1,3.8,24.65948598
Teacher_203,4,88,3.6,103,4,46,81,4,3,4.1,53.90056043
Teacher_204,4,86,3.6,137,5,62,87,3.6,2,4.1,43.45991542
Teacher_205,4,90,5,121,5,59,78,3.6,3,5,26.47806513
Teacher_206,4,88,3.5,101,6,71,89,4.8,2,4.8,31.88681999
Teacher_207,4,94,4.2,118,1,51,83,4.6,1,4.1,35.731017
Teacher_208,4,91,4.3,112,6,70,89,4.5,3,4.9,67.0769854
Teacher_209,4,92,3.7,112,2,71,81,4,3,4,59.53092355
Teacher_210,4,89,3.8,101,6,67,85,4.1,1,4.5,10.67737465
Teacher_211,4,99,4,130,5,61,89,4.9,4,4.9,43.01915066
Teacher_212,4,88,4.6,105,6,59,85,3.6,3,4.1,34.73364296
Teacher_213,4,93,4.3,118,3,57,82,4.7,1,4.5,1.497306515
Teacher_214,4,94,4.5,140,1,63,85,4,2,3.9,11.93247769
Teacher_215,4,99,5,90,5,60,76,3.6,3,3.9,97.37635177
Teacher_216,4,86,4.7,149,4,71,87,4.6,3,4.4,36.27964597
Teacher_217,4,98,4.2,88,6,74,86,4,3,5,53.33938555
Teacher_218,4,96,4.2,92,5,71,80,4.6,4,4.2,27.51601134
Teacher_219,4,91,4.4,99,4,58,77,4.6,2,4.9,76.54678287
Teacher_220,4,98,4.5,147,4,64,85,4.3,4,4.9,65.87228783
Teacher_221,4,96,4.3,110,2,59,77,4.7,1,3.9,16.63556589
Teacher_222,4,92,4.5,120,2,61,87,4.4,1,4.1,87.75426139
